Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1901,-.16,-.14,-.18,-.18,-.04,-.30,-.40,-.15,-.16,-.07,-.02,-.27,-.33,.27
1902,-.29,-.35,-.22,-.56,-.04,-.34,-1.57,-.55,-.33,-.03,-.05,-.28,-.43,-.04
1903,-.38,-.39,-.36,-.49,-.29,-.38,-.26,-.45,-.58,-.25,-.34,-.35,-.40,-.49
1904,-.48,-.50,-.46,-.54,-.47,-.44,-.24,-.63,-.57,-.44,-.50,-.37,-.49,-1.31
1905,-.27,-.30,-.23,-.43,-.09,-.35,-.08,-.26,-.63,-.12,-.06,-.32,-.37,-.33
1906,-.22,-.24,-.21,-.27,-.19,-.23,-.29,-.09,-.40,-.19,-.19,-.20,-.22,-.71
1907,-.39,-.48,-.30,-.61,-.30,-.29,-.60,-.75,-.53,-.29,-.32,-.20,-.36,-1.19
1908,-.43,-.47,-.40,-.50,-.45,-.35,-.26,-.58,-.52,-.43,-.47,-.28,-.48,.68
1909,-.49,-.51,-.48,-.55,-.49,-.44,-.77,-.65,-.45,-.44,-.53,-.37,-.52,-.56
1910,-.44,-.46,-.43,-.44,-.50,-.38,-.64,-.27,-.50,-.50,-.51,-.32,-.45,.17
1911,-.44,-.43,-.46,-.44,-.43,-.47,-.30,-.44,-.48,-.42,-.43,-.43,-.52,.06
1912,-.37,-.48,-.25,-.61,-.19,-.36,-.53,-.82,-.51,-.28,-.09,-.36,-.29,-1.63
1913,-.35,-.43,-.26,-.46,-.28,-.34,-.51,-.35,-.52,-.40,-.16,-.28,-.40,-1.03
1914,-.16,-.21,-.11,-.27,-.08,-.17,-.39,-.19,-.29,-.12,-.04,-.15,-.18,-.36
1915,-.15,-.15,-.14,-.25,-.02,-.22,-.61,-.19,-.19,.00,-.04,-.15,-.23,-1.98
1916,-.37,-.43,-.31,-.39,-.45,-.22,-.54,-.56,-.25,-.49,-.42,-.22,-.17,-1.04
1917,-.46,-.58,-.36,-.51,-.64,-.18,-.84,-.52,-.44,-.68,-.59,-.22,-.09,.07
1918,-.30,-.41,-.21,-.42,-.34,-.13,-1.04,-.29,-.36,-.38,-.30,-.05,-.22,-.27
1919,-.28,-.36,-.21,-.45,-.21,-.22,-.71,-.58,-.31,-.23,-.19,-.14,-.32,.20
1920,-.28,-.31,-.24,-.26,-.26,-.32,-.04,-.22,-.36,-.37,-.15,-.18,-.48,-1.14
1921,-.19,-.12,-.27,.00,-.26,-.30,-.04,.15,-.10,-.29,-.23,-.22,-.38,-.83
1922,-.29,-.28,-.30,-.25,-.33,-.27,-.30,-.42,-.14,-.32,-.33,-.24,-.28,-.27
1923,-.27,-.22,-.31,-.16,-.30,-.33,.17,-.17,-.26,-.32,-.28,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.13,-.26,-.43,.51,-.27,-.23,-.27,-.25,-.39,-.45,-.52
1925,-.22,-.14,-.30,-.05,-.24,-.37,-.05,.16,-.19,-.28,-.21,-.24,-.54,-.85
1926,-.11,.01,-.21,.02,.02,-.40,.57,.14,-.22,.01,.03,-.34,-.45,-.63
1927,-.22,-.14,-.29,-.14,-.16,-.38,.03,-.23,-.13,-.14,-.18,-.30,-.45,-1.37
1928,-.20,-.11,-.29,-.08,-.15,-.39,.67,-.19,-.23,-.14,-.16,-.28,-.48,-2.12
1929,-.36,-.34,-.38,-.39,-.28,-.45,.12,-.63,-.39,-.27,-.28,-.42,-.44,-1.07
1930,-.16,-.02,-.29,.03,-.11,-.42,.51,.03,-.11,-.09,-.13,-.32,-.46,-2.59
1931,-.10,.04,-.21,.00,.07,-.42,.57,-.05,-.14,.09,.05,-.41,-.40,-.41
1932,-.16,-.06,-.25,.03,-.17,-.34,.46,.18,-.21,-.19,-.14,-.20,-.53,-.98
1933,-.28,-.25,-.32,-.24,-.28,-.34,-.15,-.48,-.12,-.28,-.28,-.21,-.48,-1.14
1934,-.12,.00,-.25,.17,-.25,-.25,.89,.30,-.13,-.26,-.24,-.15,-.38,-.56
1935,-.20,-.10,-.29,-.05,-.18,-.37,.33,-.05,-.16,-.16,-.20,-.30,-.41,-1.71
1936,-.15,-.03,-.26,-.03,-.13,-.29,.41,.10,-.26,-.05,-.21,-.26,-.32,-.03
1937,-.03,.12,-.17,.19,-.05,-.22,1.23,.03,-.03,.00,-.11,-.19,-.25,.37
1938,.00,.16,-.18,.39,-.23,-.09,1.52,.39,.03,-.18,-.27,-.05,-.11,-.86
1939,-.02,.08,-.12,.22,-.13,-.12,.55,.28,.08,-.12,-.13,-.04,-.18,-1.60
1940,.12,.17,.09,.10,.27,-.06,.99,-.02,-.10,.26,.29,.03,-.20,-.05
1941,.18,.22,.17,.01,.48,-.05,.02,-.10,.08,.53,.43,.04,-.15,-.46
1942,.06,.12,.01,.13,.07,-.01,.72,-.07,.06,.10,.03,.06,-.05,-.89
1943,.09,.18,-.01,.37,-.09,.04,1.43,.28,.10,-.11,-.07,.07,.00,1.14
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.09,.10,.26,.19,-.09,-.96
1945,.09,.10,.09,.11,.17,-.03,.65,-.02,.03,.10,.24,.04,.00,-1.80
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.16,-.03,-.08,-.22,-.24,-.19
1947,-.03,.08,-.13,.15,-.07,-.16,1.07,-.13,.04,-.04,-.10,-.19,-.08,-.22
1948,-.11,-.02,-.20,.13,-.19,-.24,.12,.32,.00,-.23,-.14,-.19,-.19,-1.40
1949,-.11,-.03,-.19,.11,-.19,-.22,.20,.17,.05,-.24,-.15,-.17,-.15,-1.99
1950,-.17,-.15,-.21,-.05,-.29,-.14,.18,-.31,.04,-.31,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.07,.01,.12,-.01,-.12,-.21,-.16,-.70
1952,.01,.06,-.04,.11,.01,-.09,.27,-.10,.19,-.01,.04,-.09,-.02,-.52
1953,.08,.24,-.07,.35,.07,-.18,1.03,.35,.14,.08,.06,-.07,-.24,-1.12
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.82
1955,-.14,-.09,-.20,.05,-.34,-.06,-.23,-.11,.23,-.30,-.38,-.15,-.08,1.21
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.48,-.09,-.29,-.37,-.13,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.15,-.18,.14,.12,.26,.15,-.08,-.08,-.56
1959,.03,.12,-.06,.16,.07,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.39
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.02,-.10,-.07,-.78
1961,.06,.09,.03,.19,-.03,.05,-.16,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.07,.44,.31,.14,-.04,-.05,.09,-.08,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.02
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.11,-.14,-.14,-.30,-.07,-.37
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.12
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.31
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.15
1970,.03,-.04,.09,-.11,.07,.11,-.20,-.13,-.06,.07,.07,.11,.03,.35
1971,-.08,-.15,-.01,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.48
1972,.01,-.17,.20,-.34,.17,.15,-.37,-.46,-.24,.07,.27,.16,-.02,.48
1973,.16,.09,.23,.11,.19,.18,.06,.27,.02,.08,.30,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.17,-.19,-.07,-.18,-.23,-.17,.21,-.09,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.30
1976,-.10,-.21,.01,-.26,-.12,.09,-.07,-.32,-.28,-.13,-.10,.10,.22,-.22
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.03,.07,.15,-.16,.04,-.04,.10,.05,.20,.13,.02
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.25,.27,.29,.33,-.21
1980,.26,.17,.34,.06,.31,.38,.26,.02,.02,.33,.28,.35,.37,.56
1981,.32,.37,.27,.48,.18,.35,1.09,.79,.08,.22,.14,.28,.38,.61
1982,.14,.06,.22,-.08,.27,.18,-.40,.10,-.08,.25,.28,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.19,.69,-.07,.29,.57,.21,.41,.09
1984,.16,.04,.27,.02,.18,.26,.36,.08,-.13,.07,.29,.16,.32,.54
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.01,.04,.13,.29,.44,.07
1986,.18,.13,.23,.11,.22,.20,.01,.28,.03,.18,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.61,.32,.25,.01
1988,.39,.37,.40,.40,.37,.40,.59,.57,.24,.32,.42,.38,.20,.93
1989,.27,.27,.27,.41,.13,.33,.33,.69,.25,.07,.18,.35,.30,.37
1990,.45,.53,.37,.63,.37,.37,.58,.89,.49,.38,.36,.37,.37,.37
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.33,.40,.30,.29,.99
1992,.22,.14,.31,.09,.28,.27,-.17,.44,-.04,.20,.36,.19,.33,.41
1993,.23,.19,.27,.13,.32,.22,.54,.30,-.11,.29,.35,.26,.39,-.28
1994,.31,.37,.26,.43,.31,.20,.34,.50,.41,.28,.34,.26,.23,-.03
1995,.44,.58,.31,.70,.42,.22,1.31,.99,.31,.41,.44,.28,.15,.14
1996,.33,.26,.40,.23,.32,.45,.77,.17,.10,.31,.32,.32,.28,1.31
1997,.47,.52,.41,.53,.51,.34,.76,.91,.22,.51,.52,.41,.36,.04
1998,.61,.71,.51,.78,.69,.32,.86,.94,.65,.60,.79,.38,.31,.13
1999,.38,.48,.28,.70,.20,.30,.40,.80,.74,.16,.25,.46,.19,.01
2000,.39,.50,.28,.70,.24,.28,.97,.80,.55,.21,.28,.41,.10,.27
2001,.53,.64,.43,.80,.42,.42,1.07,.87,.68,.40,.44,.58,.24,.25
2002,.63,.71,.54,.83,.59,.48,1.25,1.00,.58,.55,.63,.49,.31,.79
2003,.62,.75,.49,.84,.64,.36,1.50,.98,.54,.62,.66,.44,.24,.37
2004,.53,.66,.41,.72,.55,.32,.46,.96,.66,.57,.53,.47,.23,-.04
2005,.68,.86,.50,1.01,.62,.42,1.98,1.23,.57,.63,.62,.49,.18,.68
2006,.64,.82,.46,.99,.56,.39,1.73,1.06,.69,.57,.54,.51,.19,.43
2007,.66,.85,.47,1.12,.46,.47,2.07,1.32,.69,.45,.47,.49,.07,1.26
2008,.54,.68,.40,.91,.38,.40,1.52,1.08,.61,.34,.41,.52,.08,.64
2009,.66,.73,.59,.77,.68,.51,1.40,.61,.68,.66,.70,.60,.15,.98
2010,.73,.90,.55,1.02,.68,.48,2.23,.87,.73,.73,.64,.63,.20,.55
2011,.61,.74,.47,.98,.37,.56,2.33,.94,.58,.39,.34,.64,.19,1.09
2012,.65,.81,.48,1.03,.52,.43,2.15,.93,.74,.48,.56,.55,.20,.45
2013,.68,.80,.55,.95,.58,.54,1.54,1.05,.69,.59,.57,.62,.23,.86
2014,.75,.93,.57,1.08,.67,.52,2.05,1.14,.73,.70,.64,.72,.19,.56
2015,.90,1.18,.62,1.32,.96,.40,2.01,1.48,.99,.99,.92,.74,.20,-.34
2016,1.01,1.31,.72,1.54,1.01,.49,3.25,1.44,1.07,.96,1.05,.66,.28,.37
2017,.92,1.18,.66,1.39,.81,.60,2.53,1.39,1.03,.87,.75,.75,.38,.53
2018,.85,1.04,.66,1.25,.68,.68,2.16,1.10,1.05,.74,.61,.78,.40,.93
2019,.98,1.21,.74,1.42,.90,.64,2.74,1.43,.99,.91,.88,.73,.41,.81
2020,1.01,1.35,.67,1.67,.85,.56,2.88,1.82,1.18,.89,.81,.58,.39,.85
2021,.85,1.15,.55,1.43,.65,.52,2.07,1.36,1.26,.73,.57,.72,.33,.28
2022,.89,1.16,.62,1.52,.57,.70,2.35,1.51,1.27,.63,.50,.78,.40,1.07
2023,1.17,1.50,.85,1.78,1.06,.71,2.57,1.87,1.47,1.09,1.03,.89,.46,.63
2024,1.28,1.66,.91,1.96,1.19,.74,2.90,1.96,1.65,1.23,1.15,.87,.54,.71
